state,district,priority_label,priority_rank,forecast_next_month,required_staff,required_kits
Jammu And Kashmir,Shopian,Medium Priority,191.0,412,1,1
Madhya Pradesh,Maihar,Medium Priority,192.0,90,1,1
Gujarat,Rajkot,Medium Priority,193.0,1816,4,4
Maharashtra,Gondiya *,Medium Priority,194.0,12,1,1
Assam,Tamulpur District,Medium Priority,194.0,13,1,1
Bihar,Purbi Champaran,Medium Priority,195.0,4957,10,10
Madhya Pradesh,Alirajpur,Medium Priority,196.0,926,2,2
Punjab,Hoshiarpur,Medium Priority,197.0,612,2,2
Gujarat,Panchmahals,Medium Priority,198.0,968,2,2
Assam,Nalbari,Medium Priority,199.0,648,2,2
Daman And Diu,Daman,Medium Priority,200.0,13,1,1
Delhi,West Delhi,Medium Priority,201.0,1544,3,3
Gujarat,Mahisagar,Medium Priority,202.0,331,1,1
Gujarat,Dohad,Medium Priority,203.0,315,1,1
Kerala,Ernakulam,Medium Priority,204.0,1398,3,3
Andhra Pradesh,N. T. R,Medium Priority,205.0,206,1,1
Daman And Diu,Diu,Medium Priority,206.0,15,1,1
West Bengal,Jalpaiguri,Medium Priority,207.0,1681,4,4
West Bengal,24 Paraganas South,Medium Priority,208.0,490,1,1
Gujarat,Surendra Nagar,Medium Priority,209.0,1036,2,2
Himachal Pradesh,Kinnaur,Medium Priority,210.0,36,1,1
Haryana,Yamunanagar,Medium Priority,211.0,14,1,1
Mizoram,Aizawl,Medium Priority,212.0,216,1,1
Karnataka,Bangalore Rural,Medium Priority,213.0,569,2,2
Delhi,Central Delhi,Medium Priority,214.0,453,1,1
Jammu & Kashmir,Jammu,Medium Priority,215.0,14,1,1
Sikkim,North Sikkim,Medium Priority,215.0,14,1,1
Gujarat,Arvalli,Medium Priority,216.0,301,1,1
Arunachal Pradesh,Lower Dibang Valley,Medium Priority,217.0,20,1,1
West Bengal,Nadia,Medium Priority,218.0,2977,6,6
West Bengal,North 24 Parganas,Medium Priority,219.0,5540,11,11
Punjab,Ludhiana,Medium Priority,220.0,1610,3,3
Telangana,Medchal Malkajgiri,Medium Priority,221.0,352,1,1
Gujarat,Mahesana,Medium Priority,222.0,959,2,2
Madhya Pradesh,Bhind,Medium Priority,223.0,1443,3,3
Maharashtra,Hingoli,Medium Priority,224.0,652,2,2
Telangana,Ranga Reddy,Medium Priority,225.0,284,1,1
Gujarat,Vadodara,Medium Priority,226.0,2041,4,4
